Bkg Branch,Delivery Branch,Card Rate
BHARUCH,ASLALI BRANCH,3.5
BHARUCH,GOBLEJ BKG & DLY,3.5
BHARUCH,KATHWADA,3.85
BHARUCH,KUBADTHAL FR,4.35
BHARUCH,NADIAD,3.85
BHARUCH,NARODA,3.85
BHARUCH,NAROL,3.5
BHARUCH,ODHAV,3.85
BHARUCH,RAKHIAL,3.85
BHARUCH,SARANGPUR,3.85
BHARUCH,VATVA,3.5
BHARUCH,CHANGODAR,3.85
BHARUCH,CHHATRAL (N.G.),3.85
BHARUCH,DHOLKA,4.1
BHARUCH,GANDHINAGAR,4.1
BHARUCH,HIMATNAGAR,4.1
BHARUCH,KALOL (N.G.),4.7
BHARUCH,MEHSANA (N.G.),4.7
BHARUCH,PALANPUR,5
BHARUCH,SANAND,4.1
BHARUCH,SANTEJ,4.1
BHARUCH,SARKHEJ,3.85
BHARUCH,SIDHPUR,5
BHARUCH,SURENDRANAGAR,4.45
BHARUCH,ABU ROAD,5.85
BHARUCH,BHILWARA FR,7.1
BHARUCH,CHITTORGARH  FR,8.3
BHARUCH,JODHPUR,7.05
BHARUCH,KOTA (RAJASTAN) FR,8.9
BHARUCH,PALI,8.1
BHARUCH,UDAIPUR,5.6
BHARUCH,CHITTOOR,14.1
BHARUCH,CUDDAPAH,13.45
BHARUCH,ELURU,12
BHARUCH,GAJUWAKA,12
BHARUCH,GUNTUR,12
BHARUCH,KAKINADA,12.9
BHARUCH,NELLORE,13.45
BHARUCH,ONGOLE,12.6
BHARUCH,PARAWADA,13
BHARUCH,RAJAHMUNDRY CITY,12.6
BHARUCH,SRIKAKULAM,14.7
BHARUCH,TIRUPATHI,12.25
BHARUCH,VIJAYAWADA,10.45
BHARUCH,VIZIANAGARAM,14.4
BHARUCH,ANANTAPURAM,12
BHARUCH,AUTONAGAR-HYD,9.85
BHARUCH,BAHADURPALLY BOOKING,8.3
BHARUCH,BAHADURPALLY DELIVERY,8.6
BHARUCH,BALANAGAR,9.2
BHARUCH,BOLLARAM,9
BHARUCH,DIWANDEVDI,9.2
BHARUCH,HUBSIGUDA,9.55
BHARUCH,HYDERABAD CENTRAL CELL,9.55
BHARUCH,JEEDIMETLA,8.85
BHARUCH,KARIMNAGAR,10.75
BHARUCH,KHAMMAM,10.75
BHARUCH,KURNOOL,10.75
BHARUCH,NIZAMABAD,12
BHARUCH,PATANCHERU,8.85
BHARUCH,SECUNDERABAD,8.85
BHARUCH,WARANGAL,12
BHARUCH,BARODA - KARELIBAUG,3.85
BHARUCH,DASHRATH,2.8
BHARUCH,GODHRA PANCHMAHAL,4.1
BHARUCH,GOLDEN BRANCH,3.85
BHARUCH,HALOL (GIDC),4.1
BHARUCH,JAROD,3.85
BHARUCH,MAKARPURA,3.85
BHARUCH,MANJUSAR,3.85
