Bkg Branch,Delivery Branch,Card Rate,,,,
SANGLI,CHAKAN CENTRAL CELL,5.01,,,,
COIMBATORE BRANCH,TIRUNELVELI,5.83,,,,
COIMBATORE BRANCH,TIRUNELVELI,5.83,,,,
COIMBATORE BRANCH,SALEM,2.64,,,,
COIMBATORE BRANCH,HOSUR,4.46,,,,
COIMBATORE BRANCH,SALEM,2.64,,,,
COIMBATORE BRANCH,DINDIGUL,3.63,,,,
COIMBATORE BRANCH,MADURAI,3.3,,,,
COIMBATORE BRANCH,MADURAI,3.3,,,,
COIMBATORE BRANCH,SALEM,2.64,,,,
COIMBATORE BRANCH,TIRUNELVELI,5.83,,,,
COIMBATORE BRANCH,MADURAI,3.3,,,,
COIMBATORE BRANCH,TUTICORIN,5.56,,,,
COIMBATORE BRANCH,MADURAI,3.3,,,,
COIMBATORE BRANCH,DINDIGUL,3.63,,,,
COIMBATORE BRANCH,TIRUNELVELI,5.83,,,,
COIMBATORE BRANCH,SALEM,2.64,,,,
MANJUSAR,JALGAON,6.6,,,,
RUDRAPUR,OKHLA-1,3.03,,,,
DRONAGIRI,GURGAON BKG & DLY,7.79,,,,
DRONAGIRI,WADALA - MUMBAI,4.6,,,,
DRONAGIRI,MANJUSAR,4.66,,,,
DRONAGIRI,DASHRATH,4.11,,,,
DRONAGIRI,MANJUSAR,4.66,,,,
DRONAGIRI,JAIPUR,8.78,,,,
DRONAGIRI,SRIPERUMBUDUR,10.93,,,,
DRONAGIRI,ASLALI BRANCH,4.55,,,,
DRONAGIRI,SANAND,4.66,,,,
DRONAGIRI,DELHI (RAMA ROAD),8.07,,,,
DRONAGIRI,BHIWADI - RAJASTHAN,8.62,,,,
DRONAGIRI,BHIWADI - RAJASTHAN,8.42,,,,
DRONAGIRI,HALOL (GIDC),4.66,,,,
DRONAGIRI,GURGAON BKG & DLY,7.59,,,,
DRONAGIRI,LUCKNOW,11.33,,,,
DRONAGIRI,AMBATTUR-CHENNAI,10.73,,,,
DRONAGIRI,BHIWADI - RAJASTHAN,8.42,,,,
DRONAGIRI,KOTHUR,7.87,,,,
DRONAGIRI,SANTEJ,4.18,,,,
DRONAGIRI,DELHI (RAMA ROAD),8.07,,,,
DRONAGIRI,AMBATTUR-CHENNAI,10.93,,,,
DRONAGIRI,HIMATNAGAR,4.93,,,,
DRONAGIRI,DELHI (RAMA ROAD),7.87,,,,
DRONAGIRI,KHARAGPUR,14.52,,,,
DRONAGIRI,JABALPUR,9.9,,,,
DRONAGIRI,GURGAON BKG & DLY,7.59,,,,
DRONAGIRI,CHANDIGARH BRANCH,8.95,,,,
DRONAGIRI,JAMMU,13.31,,,,
DRONAGIRI,HOWRAH,11.53,,,,
DRONAGIRI,NELAMANGALA (BKG & DLY),8.62,,,,
DRONAGIRI,CHAKAN CENTRAL CELL,5.48,,,,
DRONAGIRI,BAHADURPALLY DELIVERY,7.19,,,,
DRONAGIRI,BOMMASANDRA,9.3,,,,
DRONAGIRI,ROHA,4.38,,,,
DRONAGIRI,TRICHY,12.41,,,,
DRONAGIRI,MYSORE,9.83,,,,
DRONAGIRI,BIDADI,8.75,,,,
DRONAGIRI,RANJANGAON,5.48,,,,
DRONAGIRI,NASIK,4.38,,,,
DRONAGIRI,SRIPERUMBUDUR,10.93,,,,
DRONAGIRI,PHURSUNGHI,5.48,,,,
DRONAGIRI,AMBATTUR-CHENNAI,10.93,,,,
DRONAGIRI,LALBAGH ROAD,9.02,,,,
DRONAGIRI,GUINDY-CHENNAI,10.93,,,,
DRONAGIRI,AMBATTUR-CHENNAI,10.73,,,,
AMBERNATH,NAGPUR WADDHAMNA,6.11,,,,
AMBERNATH,NAGPUR WADDHAMNA,6.11,,,,
AMBERNATH,NAGPUR WADDHAMNA,6.11,,,,
AMBERNATH,PUNE CITY,4.18,,,,
AMBERNATH,BHANDARA,7.1,,,,
VADPE,SURAT CITY,3.5,,,,
VADPE,GODHRA PANCHMAHAL,4.11,,,,
VADPE,BARODA - KARELIBAUG,3.83,,,,
VADPE,VAPI DELIVERY,2.51,,,,
VADPE,SURAT CITY,3.5,,,,
VADPE,SURAT CITY,3.5,,,,
VADPE,HOSKOTE,8.34,,,,
VADPE,PEENYA,8.34,,,,
VADPE,RANIPET,9.5,,,,
VADPE,PEENYA,8.34,,,,
VADPE,KOTHUR,7.49,,,,
VADPE,MANJUSAR,3.83,,,,
VADPE,PIRANGUT,3.5,,,,
VADPE,VASAI HIGHWAY,3.23,,,,
VADPE,HALOL (GIDC),4.11,,,,
VADPE,PUNE CITY,3.03,,,,
VADPE,BARAMATI,4.46,,,,
VADPE,KOLHAPUR,5.01,,,,
VADPE,DHULE,5.28,,,,
VADPE,DAMAN DELIVERY UT,3.01,,,,
VADPE,JEEDIMETLA,6.8,,,,
VADPE,DAMAN DELIVERY UT,3.01,,,,
RABALE,SRICITY - TADA,10.16,,,,
RABALE,ASLALI BRANCH,3.67,,,,
RABALE,SHIRVAL,4.66,,,,
RABALE,BAHADURPALLY DELIVERY,7.19,,,,
RABALE,BHANGEL,7.46,,,,
RABALE,JHAGADIA,4.7,,,,
RABALE,V V NAGAR,3.5,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,KOLKATA(B T ROAD),11.06,,,,
RABALE,NELAMANGALA (BKG & DLY),7.46,,,,
RABALE,KANPUR,8.42,,,,
