Sales Region,Sales Area,Sales Branch
GUJARAT,AHMEDABAD,ASLALI BRANCH
GUJARAT,AHMEDABAD,GOBLEJ BKG & DLY
GUJARAT,AHMEDABAD,GOBLEJ TC
GUJARAT,AHMEDABAD,KATHWADA
GUJARAT,AHMEDABAD,KATHWADA TR
GUJARAT,AHMEDABAD,KUBADTHAL FR
GUJARAT,NADIAD,NADIAD
GUJARAT,AHMEDABAD,NARODA
GUJARAT,AHMEDABAD,NAROL
GUJARAT,AHMEDABAD,ODHAV
GUJARAT,AHMEDABAD,RAKHIAL
GUJARAT,AHMEDABAD,SARANGPUR
GUJARAT,AHMEDABAD,VATVA
GUJARAT,AHMEDABAD,CHANGODAR
GUJARAT,CHHATRAL (N.G.),CHHATRAL (N.G.)
GUJARAT,CHHATRAL (N.G.),CHHATRAL TR
GUJARAT,DHOLKA,DHOLKA
GUJARAT,GANDHINAGAR,GANDHINAGAR
GUJARAT,CHHATRAL (N.G.),GIDC CHHATRAL FR
GUJARAT,HIMATNAGAR,HIMATNAGAR
GUJARAT,KALOL (N.G.),KALOL (N.G.)
GUJARAT,MAHESANA,MEHSANA (N.G.)
GUJARAT,PALANPUR,PALANPUR
GUJARAT,AHMEDABAD,SANAND
GUJARAT,AHMEDABAD,SANTEJ
GUJARAT,AHMEDABAD,SARKHEJ
GUJARAT,SIDHPUR,SIDHPUR
GUJARAT,SURENDRANAGAR,SURENDRANAGAR
RAJASTHAN,ABU ROAD,ABU ROAD
RAJASTHAN,BHILWARA,BHILWARA FR
RAJASTHAN,CHITTORGARH,CHITTORGARH  FR
RAJASTHAN,JODHPUR,JODHPUR
RAJASTHAN,KOTA,KOTA (RAJASTAN) FR
RAJASTHAN,PALI MARWAR,PALI
RAJASTHAN,UDAIPUR,UDAIPUR
ANDHRA PRADESH,CHITTOOR,CHITTOOR
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH
ANDHRA PRADESH,ELURU,ELURU
ANDHRA PRADESH,VISAKHAPATNAM,GAJUWAKA
ANDHRA PRADESH,GUDIVADA,GUDIVADA
ANDHRA PRADESH,GUNTUR,GUNTUR
ANDHRA PRADESH,KAKINADA,KAKINADA
ANDHRA PRADESH,NELLORE,NELLORE
ANDHRA PRADESH,ONGOLE,ONGOLE
ANDHRA PRADESH,VISAKHAPATNAM,PARAWADA
ANDHRA PRADESH,RAJHAMUNDRY,RAJAHMUNDRY CITY
ANDHRA PRADESH,SRIKAKULAM,SRIKAKULAM
ANDHRA PRADESH,TIRUPATHI,TIRUPATHI
ANDHRA PRADESH,VIJAYWADA,VIJAYAWADA
ANDHRA PRADESH,VIJAYWADA,VIJAYAWADA TR
ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM
TELANGANA,ADILABAD,ADILABAD
ANDHRA PRADESH,ANANTAPURAM,ANANTAPURAM
TELANGANA,HYDERABAD,AUTONAGAR-HYD
TELANGANA,HYDERABAD,BAHADURPALLY BOOKING
TELANGANA,HYDERABAD,BAHADURPALLY DELIVERY
TELANGANA,HYDERABAD,BAHADURPALLY TR
TELANGANA,HYDERABAD,BALANAGAR
TELANGANA,HYDERABAD,BOLLARAM
TELANGANA,HYDERABAD,CHERLAPALLY
TELANGANA,HYDERABAD,DIWANDEVDI
TELANGANA,HYDERABAD,HUBSIGUDA
TELANGANA,HYDERABAD,HYDERABAD CENTRAL CELL
TELANGANA,HYDERABAD,IDA GANDHINAGAR-HYD
TELANGANA,HYDERABAD,JEEDIMETLA
TELANGANA,KARIMNAGAR,KARIMNAGAR
TELANGANA,KHAMMAM,KHAMMAM
TELANGANA,HYDERABAD,KOTHUR
ANDHRA PRADESH,KURNOOL,KURNOOL
TELANGANA,HYDERABAD,MEDCHAL
TELANGANA,NIZAMABAD,NIZAMABAD
TELANGANA,HYDERABAD,PATANCHERU
TELANGANA,HYDERABAD,SECUNDERABAD
TELANGANA,WARANGAL,WARANGAL
GUJARAT,BARODA,BARODA - KARELIBAUG
GUJARAT,BARODA,DASHRATH
GUJARAT,BARODA,DASHRATH TR
GUJARAT,GODHRA,GODHRA PANCHMAHAL
GUJARAT,BARODA,GOLDEN BRANCH
GUJARAT,HALOL,HALOL (GIDC)
GUJARAT,BARODA,JAROD
GUJARAT,BARODA,MAKARPURA
GUJARAT,BARODA,MANJUSAR
GUJARAT,BARODA,NANDESARI
GUJARAT,PADRA,PADRA (DHABASA)
GUJARAT,POR,POR
GUJARAT,VALLABH VIDYANAGAR,V V NAGAR
GUJARAT,WAGHODIA,WAGHODIA
TAMILNADU,COIMBATORE,BARGUR
TAMILNADU,COIMBATORE,COIMBATORE - SIDCO
TAMILNADU,COIMBATORE,COIMBATORE BRANCH
TAMILNADU,COIMBATORE,COONOOR
TAMILNADU,DHARMAPURI,DHARMAPURI
TAMILNADU,ERODE,ERODE
TAMILNADU,COIMBATORE,GANAPATHY-CBE
KERALA,PALAKKAD,KANJIKODE
PUDUCHERRY,KARAIKAL,KARAIKAL
TAMILNADU,KARUR,KARUR
TAMILNADU,KARUR,KARUR - TNPL
TAMILNADU,ERODE,KOMARAPALAYAM
TAMILNADU,KOVILPATTI,KOVILPATTI
TAMILNADU,KUMBAKONAM,KUMBAKONAM
TAMILNADU,KARUR,MANAPPARAI - TNPL
TAMILNADU,SALEM,METTUR DAM
TAMILNADU,COIMBATORE,NEELAMBUR
TAMILNADU,PERUNDURAI,PERUNDURAI SIPCOT
TAMILNADU,POLLACHI,POLLACHI
TAMILNADU,PUDUKKOTTAI,PUDUKKOTTAI
TAMILNADU,SALEM,SALEM
TAMILNADU,SALEM,SALEM TR
TAMILNADU,THANJAVUR,THANJAVUR
TAMILNADU,NAMAKKAL,TIRUCHENGODE
TAMILNADU,TIRUPUR,TIRUPUR
TAMILNADU,TIRUPUR,TIRUPUR CITY
TAMILNADU,TRICHY,TRICHY
TAMILNADU,UDUMALPET,UDUMALPET
KERALA,ALAPPUZHA,ALLEPPEY
KERALA,CALICUT,CALICUT
KERALA,COCHIN,ELOOR-KERALA
KERALA,COCHIN,KALAMASSERY
KERALA,KANNUR,KANNUR
KERALA,QUILON(KOLLAM),KOLLAM FR
KERALA,KOTTAYAM,KOTTAYAM
KERALA,MANJERI,MANJERI
KERALA,COCHIN,PERUMBAVOOR
KERALA,QUILON(KOLLAM),QUILON (KOLLAM)
KERALA,SHORANUR,SHORANUR
KERALA,THRISSUR,TRICHUR
KERALA,TRIVANDRUM,TRIVANDRUM
TAMILNADU,BODINAYAKKANUR,BODINAYAKKANUR
TAMILNADU,DINDIGUL,DINDIGUL
TAMILNADU,MADURAI,MADURAI
TAMILNADU,MADURAI,MADURAI- EXIDE
TAMILNADU,NAGERCOIL,NAGERCOIL
TAMILNADU,RAJAPALAYAM,RAJAPALAYAM
TAMILNADU,SIVAKASI,SIVAKASI
TAMILNADU,SIVAKASI,SIVAKASI-THIRUTHANGAL
TAMILNADU,TIRUNELVELI,TIRUNELVELI
TAMILNADU,TUTICORIN,TUTICORIN
WEST BENGAL,HOWRAH,ALAMPUR
JHARKHAND,BAHARAGORA,BAHARAGORA
ODISHA,BALASORE,BALASORE
WEST BENGAL,HOWRAH,BELILIOUS ROAD
ODISHA,BERHAMPUR,BERHAMPUR
ODISHA,BHUBANESHWAR,BHUBANESWAR
WEST BENGAL,KOLKATA,BISHNUPUR-KOLKATTA
WEST BENGAL,KOLKATA,BURDWAN
ODISHA,CUTTACK,CUTTACK
WEST BENGAL,KOLKATA,DANKUNI
JHARKHAND,DEOGHAR,DEOGHAR
WEST BENGAL,DURGAPUR,DURGAPUR
ASSAM,GUWAHATI,GUWAHATI
WEST BENGAL,HALDIA,HALDIA
WEST BENGAL,HOWRAH,HOWRAH
WEST BENGAL,KOLKATA,JAIGAON - BHUTAN
JHARKHAND,JAMSHEDPUR,JAMSHEDPUR
WEST BENGAL,KOLKATA,KALYANI
WEST BENGAL,KHARAGPUR,KHARAGPUR
WEST BENGAL,KOLKATA,KOLKATA CC
WEST BENGAL,KOLKATA,KOLKATA TR
WEST BENGAL,KOLKATA,KOLKATA(B T ROAD)
WEST BENGAL,KOLKATA,KOLKATA-CENTRAL
WEST BENGAL,KOLKATA,KOLKATA-SOUTH
WEST BENGAL,MALDA,MALDA
BIHAR,PATNA,PATNA
JHARKHAND,RANCHI,RANCHI
JHARKHAND,RANCHI,RANCHI DELIVERY
BIHAR,RAXAUL,RAXAUL
ODISHA,SAMBALPUR,SAMBALPUR
WEST BENGAL,KOLKATA,SANTIPUR
WEST BENGAL,SILIGURI,SILIGURI
KARNATAKA,RAMANAGARA,BIDADI
KARNATAKA,BANGALORE,BOMMANAHALLI - BNG
KARNATAKA,BANGALORE,BOMMASANDRA
KARNATAKA,BANGALORE,BOMMASANDRA TR
KARNATAKA,BANGALORE,DEEPANJALI NAGAR
KARNATAKA,HAROHALLI,HAROHALLI - BANGALORE
TAMILNADU,HOSUR,HOSUR
TAMILNADU,HOSUR,HOSUR INDUSTRIAL AREA
TAMILNADU,HOSUR,HOSUR SIPCOT 2
KARNATAKA,BANGALORE,JIGANI
KARNATAKA,BANGALORE,KANAKAPURA ROAD - BNG
ANDHRA PRADESH,KUPPAM,KUPPAM
KARNATAKA,BANGALORE,LALBAGH ROAD
KARNATAKA,BANGALORE,SHIVAJINAGAR-BNG
KARNATAKA,BANGALORE,SIDDAIAH ROAD -BNG
KARNATAKA,NELAMANGALA,BUDIHAL-TUMKUR ROAD
KARNATAKA,CHIKMAGALUR,CHIKMAGALUR
KARNATAKA,DABASPETE,DABASPET
KARNATAKA,DODDABALLAPUR,DODDABALLAPUR - BNG
KARNATAKA,HASSAN,HASSAN
ANDHRA PRADESH,HINDUPUR,HINDUPUR
KARNATAKA,BANGALORE,HOSKOTE
KARNATAKA,BANGALORE,K R PURAM
KARNATAKA,KOLAR,KOLAR
KARNATAKA,MALUR,MALUR
KARNATAKA,BANGALORE,NELAMANGALA
KARNATAKA,BANGALORE,NELAMANGALA (BKG & DLY)
